,Date,User,Tweet,Hashtags,Location
2545,2022-10-14 14:44:36+00:00,exstax,"Spliff Vape: New Tech Allows Cannabis, Nicotine To Be Vaped Simultaneously https://t.co/pGHw29zhD8",,"Tempe, Arizona"
2546,2022-10-14 14:44:17+00:00,elliscrissy08,"I just wrote a @norml letter: Federal: Support the Cannabis Administration and Opportunity Act (CAOA). Write one here: 
https://t.co/J0Zm6a9nFg",,"Vidor, TX"
2547,2022-10-14 14:43:49+00:00,Blackmercii2,This woman is a medical doctor too?  https://t.co/PCrIuijN2h,,En el calle 
2548,2022-10-14 14:43:31+00:00,CollinsTife,This is a good space to be in. @thegreat_oslo @YourVillageBoy @nastyblaz https://t.co/foXbRbQtRi,,
2549,2022-10-14 14:43:29+00:00,StockWatchIndex,VJ Scientific Unveils New X-Ray Cannabis Decontamination Machine https://t.co/d7hNY4KZic #cannabis,['cannabis'],San Diego - California
2550,2022-10-14 14:43:19+00:00,scotland_ewan,"Hardly surprising. They could smell it, in Kelty 👇
BBC News - Cannabis farm worth £1m found after Cowdenbeath High Street fire
https://t.co/Jmpzs24Jpm",,on the naughty step 
2551,2022-10-14 14:43:16+00:00,altewale,"These conversations 

 https://t.co/gmhVAg6Etz",,
2552,2022-10-14 14:43:16+00:00,exstax,"Spliff Vape: New Tech Allows Cannabis, Nicotine To Be Vaped Simultaneously https://t.co/BXuO6R55qC",,"Tempe, Arizona"
2553,2022-10-14 14:43:04+00:00,CannaCorps,"Insurance for the Cannabis Industry https://t.co/mH1TqoWLei

https://t.co/RTbq4xgo9q",,(737) 377-1620
2554,2022-10-14 14:43:02+00:00,tiger_slam,"I ❤️ Cannabis

I Love NFTs

Am I Degen? 

           YES       NO
            👇          👇",,"Boston, MA"
2555,2022-10-14 14:42:42+00:00,timmins316,Meet the woman who was jailed 3 times for bringing cannabis brownies to AIDS patients https://t.co/5f6LPCl9mB,,"Kingston, Ontario"
2556,2022-10-14 14:42:35+00:00,thehempvalley,"Canapa light
Cannabis light
#cbd #tisana #hemp #cannabisseeds #canapalight
#prodottidicanapa
#cannabisterapeutica 
https://t.co/MvO6wsCS7T","['cbd', 'tisana', 'hemp', 'cannabisseeds', 'canapalight', 'prodottidicanapa', 'cannabisterapeutica']",
