Date,User,Tweet,Hashtags,Location,Mentioned User,Key Word,Reply Count,like Count,Retwet Count,Followers Count
2022-08-12 23:54:24+00:00,chgfanclub,Walking to dinner in Wicker Park and getting a free THC gelato and slushi sample on the way is so 2022. 👍 https://t.co/WSm3nVPK1M,,"Chicago, IL",,THC,0,6,0,1905
2022-08-12 23:22:00+00:00,BudSpotter420,"Got ripple thc with my caffeine, ready to party 💃💚 Hope everyone has a great rest of their Friday!!! @charivari313 #charivaridetrot #detroittechno #SummerVibes #StonerFam #mmemberville #Weedmob #CannabisCommunity https://t.co/0vKwE6k6ef","['charivaridetrot', 'detroittechno', 'SummerVibes', 'StonerFam', 'mmemberville', 'Weedmob', 'CannabisCommunity']",SE Michigan/NW Ohio 💚,"[User(username='charivari313', id=2809426715, displayname='Charivari Detroit', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",THC,1,13,2,3973
2022-08-12 22:47:55+00:00,RobbinsGroupLLC,"2019 Study: ""Of the 113 cannabinoids identiﬁed in [cannabis], most can be cataloged as analogs of delta-9 THC (Δ9-THC), CBD, cannabichromene (CBC), cannabigerol (CBG), cannabinol (CBN), cannabicyclol (CBL), cannabielsoin (CBE), and cannabitriol (CBT)."" https://t.co/pViFiVXcnO",,"Las Vegas, NV",,THC,0,3,0,12855
2022-08-12 22:08:08+00:00,AC830,Star Tribune reporter consumes THC gummies so you don’t have to. @JasmineSnow15 joins me NOW on @wccoradio! https://t.co/ntblqVpe9E,,"St Paul, MN","[User(username='JasmineSnow15', id=719288128050110464, displayname='jasmine snow is a humble halloween baby', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='wccoradio', id=21202724, displayname='News Talk 830 WCCO', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",THC,2,5,1,4116
2022-08-12 17:56:23+00:00,EZJbuzz,"No sex tapes and these aren't fudge stripped cookies.
   It's actually wedding cake with diamonds &amp; Sauce. Each stick about 3.5g with .5g diamonds bringing it to 4g or 45% total THC. 
  EZJ smokes better than anything before it. https://t.co/v6Bjfj38aM https://t.co/nhkmFPGhXM",,"Silver City, Nm",,THC,0,2,0,3521
2022-08-12 17:53:14+00:00,EZJbuzz,"Those aren't fudge stripped cookies.
   It's actually wedding cake with diamonds &amp; Sauce. Each stick about 3.5g with .5g diamonds bringing it to 4g or 45% total THC. 
  EZJ smokes better than anything before it.  #cigar #cannagar #hemp #fronto #puro https://t.co/CyNNWJ6riJ","['cigar', 'cannagar', 'hemp', 'fronto', 'puro']","Silver City, Nm",,THC,1,17,2,3521
2022-08-12 16:02:29+00:00,PonDeRiverMon,Need THC and food to shake me back,,,,THC,1,6,0,1306
2022-08-12 03:41:01+00:00,2o68,"Oregon Gas, ‘Garlic Butter” top shelf #thc https://t.co/rYtA2a2SuA",['thc'],"Florida, USA",,THC,2,5,1,2902
2022-08-12 02:56:43+00:00,DeonsGarden,"Nah I smoked thc oil for the first time in 2 years. Why did I just get ready for bed, laid down and all and i got a whole lime in my pocket.",,"Queens, NY",,THC,1,14,0,336
2022-08-11 21:19:02+00:00,kjo907,THC cider 🤤 https://t.co/diZnusf6IM,,"Minneapolis,MN",,THC,0,3,1,273
